[2025-11-05 22:31:44] [INFO    ] discord.client: logging in using static token
[2025-11-05 22:31:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-05 22:31:45] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-05 22:31:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1435717019067486481', 'username': 'Goat', 'avatar': '61fddca51a22ed9d3fc6a42885d28173', 'discriminator': '7290', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-05 22:31:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-05 22:31:45] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-05 22:31:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1435717019067486481', 'name': 'Goat', 'icon': '61fddca51a22ed9d3fc6a42885d28173', 'description': 'ian', 'type': None, 'bot': {'id': '1435717019067486481', 'username': 'Goat', 'avatar': '61fddca51a22ed9d3fc6a42885d28173', 'discriminator': '7290', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '973d26b0cd68655cc1e1e2bfe4d1d2913229ef5d7c759c5062ff1649013ca2f6', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '140298201482788864', 'username': '.ian_', 'avatar': '5da72acfbf25e7f6cea689c873aaf251', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': '8)', 'avatar_decoration_data': None, 'collectibles': {'nameplate': {'sku_id': '1377377712028516443', 'asset': 'nameplates/nameplates_v2/spirit_moon/', 'label': 'COLLECTIBLES_NAMEPLATES_V2_SPIRIT_MOON_A11Y', 'palette': 'violet'}}, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-05 22:31:45] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-05 22:31:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-xb40",{"micros":0.0}]']}}
[2025-11-05 22:31:45] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-05 22:31:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-05 22:31:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Goat', 'primary_guild': None, 'mfa_enabled': False, 'id': '1435717019067486481', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7290', 'clan': None, 'bot': True, 'avatar': '61fddca51a22ed9d3fc6a42885d28173'}, 'session_type': 'normal', 'session_id': 'eda0e8bc76ffce1a6e39998994bb5410', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '712521527710449675'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'atlanta', 'us-central', 'us-west', 'us-east'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1435717019067486481', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-c-xb40",{"micros":313917,"calls":["id_created",{"micros":650,"calls":[]},"session_lookup_time",{"micros":5138,"calls":[]},"session_lookup_finished",{"micros":17,"calls":[]},"discord-sessions-prd-2-50",{"micros":307902,"calls":["start_session",{"micros":269409,"calls":["discord-api-rpc-7dffc7768-fd9s6",{"micros":210688,"calls":["get_user",{"micros":78634},"get_guilds",{"micros":4009},"send_scheduled_deletion_message",{"micros":20},"guild_join_requests",{"micros":6526},"authorized_ip_coro",{"micros":16},"pending_payments",{"micros":46967},"apex_experiments",{"micros":3340},"user_activities",{"micros":5},"played_application_ids",{"micros":3},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":31,"calls":[]},"presence_started",{"micros":14215,"calls":[]},"guilds_started",{"micros":86,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":24138,"calls":[]},"connect_finished",{"micros":24147,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-05 22:31:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-05 22:31:45] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: eda0e8bc76ffce1a6e39998994bb5410).
[2025-11-05 22:31:45] [DEBUG   ] discord.client: Dispatching event connect
